容量C=100000
n        DP_value     DP_ms      GR_value     GR_ms      BT_value     BT_ms     
1000     561622.07    345.15     561622.07    0.15       561622.07    1.30      
2000     1092853.52   498.76     1092853.52   0.23       1092853.52   3.03      
3000     1465328.25   614.72     1465306.01   0.35       1465321.11   -1335.19  
4000     1731863.61   798.70     1731783.93   0.49       1731857.89   -2715.89  
5000     1893615.23   1001.22    1893529.73   0.60       1893614.39   -4274.92  
6000     2090520.49   1163.17    2090436.28   0.74       2090514.97   -5328.12  
7000     2241322.19   1346.11    2241316.34   0.89       2241320.58   -5980.44  
8000     2434230.18   1537.88    2434182.66   1.01       2434227.25   -6393.13  
9000     2562808.78   1704.15    2562795.20   1.15       2562806.44   -6812.73  
10000    2692433.64   1995.52    2692416.13   1.44       2692430.71   -7095.80  
20000    3816715.85   3610.18    3816678.20   2.74       -1.00        -1.00     
40000    5285106.28   7552.98    5285078.59   6.33       -1.00        -1.00     
80000    7491217.31   14975.58   7491141.10   15.77      -1.00        -1.00     
160000   10391476.17  28445.62   10391475.74  27.54      -1.00        -1.00     
320000   14565778.20  60904.93   14565778.20  67.51      -1.00        -1.00     
