容量C=10000
n        DP_value     DP_ms      GR_value     GR_ms      BT_value     BT_ms     
1000     263098.69    24.85      263068.44    0.14       263098.69    -854.58   
2000     387206.61    53.68      387088.40    0.24       387204.24    -1050.32  
3000     464863.77    87.22      464851.01    0.56       464851.01    -1068.49  
4000     548366.66    84.56      548307.22    0.51       548366.66    -996.83   
5000     580912.47    106.71     580897.41    0.63       580906.11    -1021.98  
6000     659527.73    119.28     659496.48    0.77       659525.20    -1015.80  
7000     675548.46    137.10     675482.91    1.00       675548.46    -1038.53  
8000     745349.52    163.27     745338.89    1.30       745338.89    -1066.05  
9000     808549.23    183.67     808466.64    1.26       808549.23    -1100.47  
10000    825457.07    213.73     825457.07    1.43       825457.07    -1155.28  
20000    1168766.29   346.42     1168705.20   2.79       -1.00        -1.00     
40000    1579558.53   670.74     1579473.67   6.03       -1.00        -1.00     
80000    2247680.16   1664.66    2247680.16   17.21      -1.00        -1.00     
160000   2998456.18   2868.76    2998455.51   28.02      -1.00        -1.00     
320000   4056630.76   5431.94    4056630.76   59.57      -1.00        -1.00     
